payment_txn_id,payment_txn_success,failure_reason
nd-976898,N,Merchant account blocks the transaction
cr-699515,Y,
ws-256765,Y,
GD-573094,N,The billing address is invalid 
Mj-632890,N,Merchant account blocks the transaction
jG-490070,N,The billing address is invalid 
Xl-697725,Y,
nV-260436,N,Credit or debit card is canceled
rv-120753,N,The consumers account is suspended or closed 
Qz-644915,Y,
du-934233,Y,
ov-711356,N,The consumers account is suspended or closed 
WU-595061,N,The billing address is invalid 
Dy-498293,N,Incorrect Pin
XG-135763,Y,
lE-536794,N,Incorrect Pin
QU-817037,Y,
Nc-650532,Y,
po-427343,Y,
Vw-889154,Y,
YA-163339,N,The payment gateway does not support
rw-114791,Y,
zY-062940,Y,
ur-132737,Y,
CV-604066,Y,
mA-000975,Y,
xr-479161,Y,
KO-074723,Y,
As-778320,N,Credit or debit card is expired 
kc-056098,Y,
jr-321572,Y,
qr-871718,N,Credit or debit card is canceled
Lt-507142,N,The billing address is invalid 
cH-934607,Y,
fE-398363,Y,
xe-645991,Y,
XU-674982,Y,
pf-182181,Y,
ms-996244,Y,
Yx-955860,N,Credit or debit card is expired 
lu-304334,Y,
Ws-433444,Y,
lR-086022,Y,
bv-559272,Y,
RI-205838,Y,
nu-909048,Y,
cp-763382,Y,
Pj-966150,Y,
lD-165677,Y,
bc-868102,Y,
iO-425962,Y,
GQ-230458,Y,
LV-119284,Y,
pe-675378,Y,
LM-573665,Y,
RY-814782,Y,
iO-481819,Y,
nV-129606,Y,
Om-248000,Y,
QN-589756,Y,
kL-204270,Y,
fL-071126,Y,
Db-707568,Y,
zK-683691,N,The billing address is invalid 
KN-933381,Y,
IC-013078,Y,
aV-066849,Y,
bT-261018,Y,
QS-829534,Y,
EH-957596,Y,
Fe-982020,Y,
uE-994488,Y,
wa-473477,Y,
uV-075596,Y,
rY-834982,Y,
ub-858083,Y,
jT-061026,Y,
bY-300647,Y,
PY-467988,Y,
oo-820514,Y,
ss-460098,Y,
hK-952484,Y,
wG-242692,Y,
OT-088803,Y,
xh-677073,Y,
Xp-862372,Y,
kN-689110,N,The payment gateway does not support
Ch-342980,Y,
iJ-515522,Y,
Gk-485249,Y,
st-361791,N,Credit or debit card is canceled
EO-052745,Y,
uW-696426,Y,
sx-219813,Y,
Fo-605754,Y,
mu-565591,Y,
El-663731,N,Credit or debit card is canceled
Uk-980569,Y,
ci-436660,Y,
zA-825513,N,The consumers account is suspended or closed 
QC-929554,Y,
SO-552461,Y,
Iy-748433,Y,
nn-244286,Y,
aX-698204,Y,
ze-722782,Y,
qk-020795,Y,
gs-608557,Y,
gq-359604,N,Credit or debit card is expired 
ho-459126,Y,
nS-341598,Y,
EY-584282,N,The billing address is invalid 
ve-465703,Y,
rO-565975,Y,
ZC-985284,N,The billing address is invalid 
Te-298703,Y,
PV-255449,Y,
xT-093136,Y,
uQ-636926,Y,
dZ-870547,N,Credit or debit card is canceled
UR-151213,Y,
YN-673932,Y,
IP-152831,Y,
yW-977266,N,Merchant account blocks the transaction
lH-225044,Y,
NM-839661,Y,
Vg-956098,Y,
yd-539254,Y,
Ru-807883,Y,
aC-292233,Y,
Pq-910716,Y,
BZ-175430,N,Credit or debit card is expired 
hU-173138,Y,
lY-921108,N,Credit or debit card is canceled
BE-876122,Y,
Za-283892,Y,
Ke-074547,Y,
xm-444648,Y,
Wl-627253,Y,
MK-737102,N,Incorrect Pin
wB-611175,Y,
AV-219499,Y,
gX-744910,Y,
BO-253580,N,Credit or debit card is canceled
Lb-672659,Y,
ew-427316,Y,
fV-417750,Y,
ke-789824,Y,
pI-399973,Y,
Cg-846687,Y,
Ed-634861,Y,
eM-211586,Y,
aE-125736,N,The payment gateway does not support
Jb-495362,Y,
YL-503214,Y,
Ry-662263,Y,
nT-248272,Y,
yL-823030,Y,
ph-473844,Y,
Pd-667841,Y,
ks-077126,Y,
xA-106546,Y,
JD-716285,N,The consumers account is suspended or closed 
DJ-343554,Y,
so-853153,N,The consumers account is suspended or closed 
wf-805479,N,Incorrect Pin
eh-615860,Y,
xd-759441,Y,
HS-479315,Y,
qB-476409,Y,
dW-609952,N,The billing address is invalid 
FW-710062,N,Credit or debit card is expired 
km-697285,Y,
rD-201372,Y,
hP-434960,Y,
Vb-145335,Y,
La-466656,Y,
EP-659199,Y,
Kg-317544,Y,
fv-817850,N,Credit or debit card is canceled
aJ-403960,Y,
ra-820683,Y,
ga-567361,Y,
TS-723310,Y,
NR-032928,Y,
WF-359651,Y,
MG-681026,Y,
Ad-778282,Y,
WZ-441351,N,The payment gateway does not support
hH-395180,N,The payment gateway does not support
xV-585192,Y,
mX-956814,Y,
fR-448723,Y,
lL-896711,Y,
xA-450858,N,Credit or debit card is canceled
ty-520962,Y,
Jn-057380,Y,
eV-152029,Y,
bF-787642,Y,
Au-397178,Y,
gE-303256,Y,
mf-186646,Y,
TQ-674380,Y,
ve-068842,N,The payment gateway does not support
Dc-977313,Y,
Up-276927,Y,
po-799481,N,The billing address is invalid 
yb-599760,N,Credit or debit card is expired 
BM-320952,Y,
bb-526271,Y,
Hq-695326,Y,
cs-984022,Y,
mY-624130,N,Credit or debit card is canceled
Uk-261291,Y,
Wc-121103,Y,
kt-764007,Y,
Zz-752768,Y,
hI-376882,Y,
od-513751,Y,
TR-350451,Y,
Jz-455829,N,The consumers account is suspended or closed 
PL-086371,Y,
mN-957648,Y,
hF-286841,Y,
Hx-155814,Y,
fY-797189,Y,
dW-115738,Y,
TF-253559,Y,
dn-359501,Y,
Yo-483594,N,The consumers account is suspended or closed 
Cr-450921,Y,
oZ-511894,Y,
WC-597875,Y,
Yc-459853,N,Credit or debit card is canceled
Rl-034569,Y,
fF-458275,Y,
Yx-471116,Y,
tP-881424,Y,
ur-422561,N,Incorrect Pin
SS-541582,Y,
UW-747736,Y,
eZ-656330,Y,
BN-962788,Y,
kM-211531,Y,
Xc-190045,Y,
Dq-514058,Y,
Is-789330,Y,
Qc-949870,Y,
iq-129634,N,Credit or debit card is canceled
bW-364915,Y,
aG-755864,Y,
Kx-234618,Y,
Yp-994551,Y,
hH-069981,N,The consumers account is suspended or closed 
AL-710414,Y,
iK-831674,Y,
PF-144899,Y,
QO-227180,Y,
Jm-684114,Y,
uF-797560,Y,
kO-414517,N,Merchant account blocks the transaction
KS-902437,Y,
CR-128383,Y,
un-969347,Y,
qL-287767,N,Credit or debit card is canceled
mv-522353,Y,
Ie-622240,Y,
bE-207618,Y,
Hb-692279,N,The billing address is invalid 
KX-675035,Y,
Yr-550951,Y,
FH-525879,Y,
FF-270753,Y,
oG-208469,Y,
ql-813665,Y,
ol-786513,Y,
zN-399250,Y,
gr-274557,N,The billing address is invalid 
VF-815384,Y,
EI-992801,Y,
Si-895589,Y,
Kl-100519,Y,
Sz-612203,Y,
Ya-628399,Y,
aP-973698,N,Merchant account blocks the transaction
ns-354992,N,Incorrect Pin
wm-505586,N,The consumers account is suspended or closed 
xC-873806,Y,
sw-515707,Y,
kp-115975,Y,
xY-928128,N,Merchant account blocks the transaction
OP-311691,Y,
hz-477005,N,Credit or debit card is canceled
vc-933669,N,Credit or debit card is canceled
dE-140882,Y,
vl-930980,Y,
Gb-541667,Y,
ai-041992,Y,
oz-923605,Y,
fq-049241,N,Credit or debit card is canceled
hU-503183,Y,
Xh-727354,Y,
WS-732297,Y,
Cs-692640,Y,
TB-051114,Y,
Fi-470501,Y,
xl-332198,Y,
ip-027397,Y,
vu-444131,Y,
tS-637405,Y,
fE-336514,N,Merchant account blocks the transaction
tJ-860432,N,The billing address is invalid 
fJ-484672,Y,
yc-978826,Y,
JR-743448,Y,
Ag-109166,Y,
gH-294922,Y,
mn-533314,Y,
DC-185907,Y,
JS-353786,Y,
QY-373689,Y,
Jy-910504,Y,
LG-782697,Y,
EQ-927884,Y,
Sh-736410,N,Credit or debit card is expired 
OE-615296,N,The payment gateway does not support
rW-324787,Y,
gD-339536,Y,
oF-223631,Y,
ov-419676,Y,
js-148558,Y,
ld-963375,Y,
iu-553116,Y,
bj-343678,Y,
zq-649862,Y,
JR-314082,Y,
op-058788,N,Incorrect Pin
zJ-493545,N,The billing address is invalid 
Dd-295716,N,Credit or debit card is canceled
Lu-083980,Y,
Ap-918611,Y,
GW-110186,Y,
cE-069256,Y,
gj-508425,Y,
YQ-379142,Y,
lQ-708570,Y,
oX-743290,Y,
NW-619625,Y,
ZR-576887,Y,
ha-632361,Y,
HS-881979,Y,
oj-607001,N,The payment gateway does not support
te-424084,Y,
LK-406929,Y,
sd-683846,Y,
OA-612053,N,Merchant account blocks the transaction
CO-477271,Y,
OP-549909,Y,
kP-092606,Y,
dr-976929,Y,
hk-543786,Y,
vq-481133,Y,
dB-987618,N,Merchant account blocks the transaction
Ah-228754,Y,
Zc-263292,Y,
pC-641105,Y,
ir-434615,Y,
lS-588198,Y,
wn-481573,Y,
BH-881910,N,The consumers account is suspended or closed 
PX-281768,Y,
Vi-282009,Y,
FJ-749233,Y,
Dw-004495,Y,
jD-550318,Y,
jr-314495,Y,
id-076984,N,The consumers account is suspended or closed 
zU-357626,N,Credit or debit card is expired 
gl-662462,Y,
Tm-795585,Y,
zH-590029,Y,
VM-205283,Y,
kk-722452,Y,
WF-325549,N,The billing address is invalid 
WC-115104,Y,
Yw-321098,Y,
NX-221403,Y,
MP-307325,Y,
Nh-890439,N,Credit or debit card is canceled
eI-074958,Y,
oW-653177,Y,
WU-033226,Y,
XS-439160,Y,
uN-652116,Y,
ZH-555492,Y,
tr-871092,N,Incorrect Pin
UG-631603,Y,
Du-585798,Y,
vP-347253,Y,
zU-933054,N,Incorrect Pin
RM-521776,Y,
rF-866921,Y,
UD-941530,Y,
mH-394222,Y,
ZS-230461,Y,
QU-468697,Y,
vR-476779,Y,
Yk-443581,Y,
ls-549818,N,The consumers account is suspended or closed 
Rl-122049,Y,
fm-959167,Y,
Xd-389704,N,Credit or debit card is canceled
Ou-075160,Y,
TJ-801613,Y,
FB-307639,Y,
Ul-854260,Y,
vI-889901,N,The consumers account is suspended or closed 
iQ-457999,Y,
OF-061032,Y,
ra-239268,Y,
tX-276694,N,Credit or debit card is expired 
UH-873385,Y,
FA-480019,Y,
dS-421775,Y,
mh-649807,N,The billing address is invalid 
sQ-911011,N,Incorrect Pin
zi-642506,Y,
Oz-586566,Y,
qc-845404,Y,
AK-184995,Y,
MB-264358,N,Credit or debit card is canceled
uJ-951641,Y,
oW-028531,Y,
hg-860885,Y,
hP-894686,Y,
ac-802938,Y,
cj-409633,Y,
cT-892490,N,The consumers account is suspended or closed 
IV-295867,N,Credit or debit card is expired 
JN-671335,Y,
kk-614208,Y,
Vc-881184,Y,
pN-965257,Y,
Px-546797,Y,
qY-797051,Y,
Ss-124736,Y,
pC-515748,Y,
JM-184312,Y,
lN-088372,Y,
lJ-876533,Y,
bG-169993,Y,
Rm-262368,Y,
CC-736984,Y,
Fm-707771,Y,
sg-048196,Y,
wY-243560,Y,
Kp-224662,N,Incorrect Pin
ez-664199,Y,
Ag-079096,Y,
fC-121257,Y,
il-836630,Y,
wa-543171,N,Merchant account blocks the transaction
uI-420802,N,The billing address is invalid 
be-599488,N,The consumers account is suspended or closed 
Hk-140466,Y,
hx-601365,Y,
GT-860309,N,Merchant account blocks the transaction
RO-996967,Y,
Cf-247391,Y,
XT-732975,Y,
WP-866883,Y,
yM-997270,Y,
FX-319715,Y,
ND-866495,Y,
jA-626663,Y,
Sa-344254,Y,
Is-395420,Y,
Lz-858963,Y,
mV-710754,Y,
NO-341783,N,The payment gateway does not support
gy-145532,Y,
sf-546565,N,The billing address is invalid 
eW-869166,Y,
tb-894368,N,Merchant account blocks the transaction
YO-328126,Y,
DD-340335,Y,
vt-525811,Y,
Cm-883512,Y,
MR-592422,Y,
YF-953505,Y,
CR-298965,N,Credit or debit card is expired 
DD-713028,Y,
MJ-137655,Y,
Ve-661954,N,Merchant account blocks the transaction
Uj-172140,Y,
dc-014375,Y,
rQ-374517,Y,
Ki-624781,Y,
lS-235132,Y,
QF-921695,Y,
JS-466299,Y,
Of-901452,N,The billing address is invalid 
ou-501785,Y,
Qk-720545,Y,
Kd-680280,Y,
fs-202514,Y,
LL-306592,Y,
EG-815125,N,Incorrect Pin
Et-627112,Y,
cI-354865,Y,
fb-077516,Y,
jx-834527,Y,
UF-818494,Y,
px-022098,Y,
Su-166199,Y,
ux-380710,Y,
wH-107364,Y,
RY-822252,N,The billing address is invalid 
yp-958108,N,Credit or debit card is canceled
HV-858147,Y,
NY-962937,Y,
KE-353219,Y,
TP-672279,Y,
qx-258163,N,Credit or debit card is expired 
lW-562657,Y,
FG-509373,Y,
wA-984083,Y,
BF-959525,Y,
VB-159500,Y,
tm-629108,Y,
Gs-059644,Y,
oW-742526,Y,
Mg-730867,Y,
eP-183806,Y,
Gj-912988,Y,
rP-583169,Y,
OF-922538,Y,
YI-729619,Y,
vK-574306,Y,
vX-476028,Y,
ej-922230,Y,
tO-592001,Y,
Lb-481333,Y,
oB-151427,Y,
jt-346542,N,Merchant account blocks the transaction
Bq-216075,Y,
sd-103590,Y,
Dl-992096,Y,
PU-283264,Y,
eY-967728,N,The payment gateway does not support
rP-133213,Y,
vn-659794,N,Credit or debit card is canceled
gV-206837,Y,
Kd-112947,N,Incorrect Pin
uR-702006,N,The billing address is invalid 
un-137463,N,Credit or debit card is expired 
WQ-133260,N,Merchant account blocks the transaction
zF-220941,Y,
is-667037,N,Credit or debit card is canceled
xv-757257,Y,
nY-032425,Y,
Jg-523308,Y,
RC-437154,Y,
xE-103177,Y,
XE-881005,Y,
hN-795921,Y,
Fk-312842,Y,
gw-510004,N,The payment gateway does not support
it-397493,Y,
An-481852,N,Merchant account blocks the transaction
Wf-066721,Y,
NG-162319,Y,
gL-666579,Y,
Qd-004597,Y,
sI-981450,Y,
Ys-616423,N,Merchant account blocks the transaction
fP-745950,Y,
xL-615289,Y,
ta-584123,Y,
lq-297504,Y,
bE-832265,Y,
aG-699894,Y,
vT-915200,N,Credit or debit card is canceled
TX-413802,Y,
cD-956260,Y,
EP-095866,Y,
GS-581822,Y,
HG-211467,N,Incorrect Pin
vq-691335,Y,
Ij-812253,Y,
pj-651537,Y,
HT-877212,Y,
BM-833803,Y,
Ux-377684,Y,
xE-575722,Y,
Rf-695977,N,Credit or debit card is canceled
to-255245,Y,
mS-647443,Y,
xS-109630,Y,
wu-272555,Y,
ld-098033,Y,
PB-932623,Y,
Sf-780050,N,The billing address is invalid 
Mz-120461,Y,
Bl-386470,Y,
Ag-577976,N,The consumers account is suspended or closed 
La-531741,Y,
ZK-632493,Y,
lj-797354,N,The billing address is invalid 
FE-392400,Y,
BG-617747,Y,
hD-830392,Y,
kr-960772,Y,
AU-440329,Y,
lq-568643,N,The billing address is invalid 
ux-381904,Y,
YZ-028637,N,The consumers account is suspended or closed 
AF-542740,Y,
uS-654397,Y,
Tx-896282,Y,
oh-730154,Y,
Cz-394417,Y,
ni-604902,Y,
mW-690995,N,The consumers account is suspended or closed 
cy-751255,Y,
Co-704830,N,Credit or debit card is expired 
nz-675292,Y,
rn-985153,N,Merchant account blocks the transaction
SP-969212,N,The payment gateway does not support
WQ-647925,Y,
YI-065882,Y,
Sx-143635,Y,
lQ-047432,N,The payment gateway does not support
fv-381018,Y,
bR-555794,Y,
HB-333389,Y,
vU-519087,Y,
BT-645322,Y,
Rg-782966,N,The consumers account is suspended or closed 
jm-327755,Y,
bY-258737,Y,
yH-585305,N,Merchant account blocks the transaction
EF-341907,Y,
uS-357991,Y,
Ki-237580,Y,
sP-001120,Y,
FA-935110,Y,
oj-376000,Y,
Fu-837347,Y,
Es-571644,Y,
gK-689686,Y,
Fn-147069,Y,
FR-186866,Y,
Us-108976,Y,
ri-513106,Y,
SC-246771,Y,
My-237780,Y,
